Time (h),Fg,RPM,Fs,Fa,Fb,Fc,Fh,Fw,pressure,Fremoved,S,DO2,P,V,Wt,pH,T,Q,CO2outgas,Fpaa,PAA_offline,Foil,NH3_offline,OUR,O2,P_offline,X_offline,CER,NH3_shots,Viscosity_offline,Fault_ref,Control_ref,PAT_ref,Batch_ref,Batch_ref
2.4,30,100,8,0,5.70967335711379,16.11551190131639,0.003523365062061015,0,0.6,-0,1.455514454785592,14.3510083545323,0.0009944492048046978,58075.43030321091,62027.12459602753,6.500178063400444,297.9574601710469,207.8141463091912,0.1391250858775839,5,NaN,22,NaN,0.04861478000146065,0.2039980106745169,NaN,NaN,0.05123564105593127,0,NaN,0,0,0,0,1
2.6,30,100,8,0,6.19046539065155,12.60322876968775,0.0003523365062061015,0,0.6,-0,1.476308819306488,14.32001469086565,0.0009939609956012773,58073.99615065417,62030.22919093291,6.484409650445308,297.957967997632,207.9498514600093,0.1423658107154804,5,NaN,22,NaN,0.0605568073428752,0.2037683728708496,NaN,NaN,0.05243131560169962,0,NaN,0,0,0,0,1
2.8,30,100,8,0,12.94438611074185,11.23307460744076,0.0001,0,0.6,-0,1.49416072501671,14.27652598575429,0.0009934488912821155,58073.91192036571,62034.67920736807,6.478110843014373,297.9640124396598,209.5651116039101,0.1457394645461985,5,NaN,22,NaN,0.0776749990676546,0.2034415984641434,NaN,NaN,0.05367614184321294,0,NaN,0,0,0,0,1
3,30,100,8,0,22.19025007190968,11.73839831884866,0.0001,0,0.6,-0,1.509508703122182,14.24136935039641,0.0009929052111268236,58075.67478822543,62040.97922758837,6.48419645194361,297.9720343734,211.7089025810819,0.1492478950906008,5,NaN,22,NaN,0.09248878728978664,0.203157424820988,NaN,NaN,0.0549708145906835,0,NaN,0,0,0,0,1
3.2,30,100,15,0,28.99155231339864,13.11109863126081,0.0001,0,0.6,-0,1.538095360862625,14.20840127642866,0.0009923152056832765,58080.19521765421,62050.54783214348,6.496998178120725,297.9810120695353,214.1083057023693,0.1528995015895139,5,NaN,22,NaN,0.1050334500384716,0.2029152610260389,NaN,NaN,0.05631844739214854,0,NaN,0,0,0,0,1
3.4,30,100,15,0,30.6897653518213,15.09952829738101,0.0001,0,0.6,-0,1.56450488630704,14.18812023392273,0.0009917205990991962,58085.05229518636,62060.47265959247,6.511100471838511,297.9901220909912,216.5433347836341,0.156697641662894,5,NaN,22,NaN,0.1112276439724395,0.2027915905216191,NaN,NaN,0.05772029465378854,0,NaN,0,0,0,0,1
3.6,30,100,15,0,26.76428661678923,17.46310558621065,0.0001,0,0.6,-0,1.588146738546191,14.15144375123662,0.0009911403391827626,58089.12122500594,62069.61420735866,6.518407881422225,297.9996566639522,219.0921061266379,0.1606402418454893,5,NaN,22,NaN,0.1227268540970094,0.202568243065775,NaN,NaN,0.05917560703353894,0,NaN,0,0,0,0,1
3.8,30,100,15,0,19.94229308436163,20.31378650902614,0.0001,0,0.6,-0,1.60922502221252,14.11014292399771,0.0009905835946904544,58091.82292491483,62077.39876567772,6.515481290184256,298.007912129903,221.2991379539305,0.1647332451896721,5,NaN,22,NaN,0.137039742463265,0.2022917567845879,NaN,NaN,0.06068659505150498,0,NaN,0,0,0,0,1
4,30,100,15,0,14.30275994058782,23.07753786305671,0.0001,0,0.6,-0,1.627359501405947,14.0665125698543,0.0009900455784995438,58093.3942039285,62084.06292780228,6.504568695188713,298.0160104100196,223.4642888117001,0.1689887558654701,5,NaN,22,NaN,0.1525165316208376,0.2019929530034767,NaN,NaN,0.06225774563752044,0,NaN,0,0,0,0,1
4.2,30,100,15,0,13.02171008472661,26.10623338001648,0.0001,0,0.6,-0,1.669823104776957,14.02427548351984,0.0009895110149225922,58094.70687246213,62091.89775542344,6.492029087919645,298.0238886122039,225.5707156530282,0.1734048494605323,5,NaN,30,NaN,0.1618045601006563,0.2018097785394848,NaN,NaN,0.063888368144425,0,NaN,0,0,0,0,1
4.4,30,100,15,0,16.73628452472562,29.36386640844791,0.0001,0,0.6,-0,1.708520586182418,13.97850852077922,0.0009889630162140187,58096.76007557031,62100.48566504994,6.484394789011091,298.0316889506823,227.656451435963,0.178004210566983,5,NaN,30,NaN,0.1754492298958156,0.2015443861542371,NaN,NaN,0.06558686072591,0,NaN,0,0,0,0,1
4.600000000000001,30,100,15,0,23.48328267744821,32.89171962475198,0.0001,0,0.6,-0,1.743406146000429,13.92407470990237,0.0009883918581403493,58100.16040064211,62110.42967678083,6.485060084801071,298.0381670556575,229.3887767291929,0.1828067013037265,5,NaN,30,NaN,0.1939746044323577,0.2011867434138027,NaN,NaN,0.06736058395057182,0,NaN,0,0,0,0,1
4.800000000000001,30,100,15,0,29.95263683032135,36.25649895319416,0.0001,0,0.6,-0,1.774245070900208,13.86467673120001,0.0009877991899970751,58104.85213501329,62121.64919936281,6.493271916918055,298.0463927669704,231.5886617043062,0.1878002069680731,5,NaN,30,NaN,0.2165380155282817,0.2007524998728307,NaN,NaN,0.06920509077556106,0,NaN,0,0,0,0,1
5,30,100,15,0,33.13906420028346,40.47704815600202,0.0001,0,0.6,-0,1.801731930618956,13.8142089147707,0.0009871967106351335,58110.17921173335,62133.51788019441,6.504450171658015,298.0486302591399,232.1871400638494,0.1929743613817052,5,NaN,30,NaN,0.2356707194413194,0.20038207421835,NaN,NaN,0.07111657894007789,0,NaN,0,0,0,0,1
5.2,30,100,15,0,31.86860872430466,42.92701888102801,0.0001,0,0.6,-0,1.824722910458464,13.75735553172546,0.0009866165726411474,58114.25068044149,62144.11110963,6.512468136195103,298.0540636508175,233.6405980710847,0.1983363730587605,0,NaN,30,NaN,0.2556832023892461,0.1999944075186564,NaN,NaN,0.07309773907093423,0,NaN,0,0,0,0,1
5.4,30,100,15,0,27.41082573774955,46.60839253624662,0.0001,0,0.6,-0,1.843803126043685,13.71329264675504,0.0009860522611898675,58117.42896262229,62153.80495494227,6.516583930187897,298.0577826361676,234.6355466027681,0.2038817899519831,0,NaN,30,NaN,0.2706073609784226,0.1997020072546654,NaN,NaN,0.07514695501048942,0,NaN,0,0,0,0,1
5.600000000000001,30,100,15,0,21.309411344813,49.87807895011574,0.0001,0,0.6,-0,1.859647013585132,13.66157949297127,0.000985508837125096,58119.38605274871,62162.28021152937,6.51101519864187,298.0588505733743,234.9212839390818,0.2096015118642113,0,NaN,30,NaN,0.287208522714244,0.1993774508530623,NaN,NaN,0.07726089262358474,0,NaN,0,0,0,0,1
5.800000000000001,30,100,15,0,17.45476786831306,52.38547375260499,0.0001,0,0.6,-0,1.871252090138212,13.58552640025913,0.0009849780503555395,58120.57208367544,62169.98659771782,6.498577619794218,298.0577440662942,234.6252242546192,0.2155129746872879,0,NaN,30,NaN,0.313654084163171,0.1988663782919476,NaN,NaN,0.0794460263358986,0,NaN,0,0,0,0,1
6,30,100,15,0,18.56669526829896,54.20261578242989,0.0001,0,0.6,-0,1.879130236430339,13.51616783486988,0.0009844428344282861,58121.98057472478,62177.92505746416,6.487400330187449,298.0575169494668,234.5644596775524,0.2216307656790725,0,NaN,30,NaN,0.3396913854113888,0.1983620514258937,NaN,NaN,0.08170778233021449,0,NaN,0,0,0,0,1
6.2,30,100,15,0,24.12342445091708,56.29796176613755,0.0001,0,0.6,-0,1.882454621262668,13.46008083240756,0.0009838885858194971,58124.50109138183,62186.97011605187,6.483960937879643,298.0517259514116,233.0147576472405,0.2279503943612187,0,NaN,30,NaN,0.3600313236291223,0.197964642421717,NaN,NaN,0.08404453662648356,0,NaN,0,0,0,0,1
6.4,30,100,15,0,31.03456317908783,56.45865641828411,0.0001,0,0.6,-0,1.881140437836515,13.39177683719591,0.0009833114485502811,58128.40479589061,62197.38972066101,6.488283913181235,298.0487203355689,232.2103676107926,0.2344776029440365,0,NaN,30,NaN,0.3833494027686493,0.1975100702046114,NaN,NaN,0.08645844997053487,0,NaN,0,0,0,0,1
6.600000000000001,30,100,15,0,36.21581249221977,57.40487461589797,0.0001,0,0.6,-0,1.875252793334807,13.33670455984725,0.0009827176832395439,58133.34457314837,62208.84203560142,6.496272983503006,298.0501416835702,232.5908330419636,0.2412166129687923,0,NaN,30,NaN,0.4014048700612501,0.1971544641030452,NaN,NaN,0.08895112326935933,0,NaN,0,0,0,0,1
6.800000000000001,30,100,15,0,38.21424846132688,59.74479437900488,0.0001,0,0.6,-0,1.863972665286086,13.24899446373338,0.0009821181459297803,58138.68300415332,62220.69023501936,6.50444544774724,298.0527118728874,233.2789003267963,0.2481841331891745,0,NaN,30,NaN,0.4308545490259763,0.1965818478492371,NaN,NaN,0.09152877993076435,0,NaN,0,0,0,0,1
7,30,100,15,0,36.95482870473956,62.50116271731986,0.0001,0,0.6,-0,1.846908564488215,13.18709471437789,0.0009815236565582296,58143.76783254818,62232.27744551763,6.509730874299383,298.0589064440801,234.9374565252097,0.2554051520316754,0,NaN,30,NaN,0.4505031016996354,0.1961943530614658,NaN,NaN,0.09420071326146164,0,NaN,0,0,0,0,1
7.2,30,100,15,0,33.59129467147674,66.59570859219318,0.0001,0,0.6,-0,1.824173650012183,13.11525611398188,0.0009809409002217466,58148.17771285392,62243.17471184524,6.5095476126691,298.0654498932262,236.6896530902418,0.2628811202734445,0,NaN,30,NaN,0.4721521233996016,0.1957680086128107,NaN,NaN,0.09696751333988057,0,NaN,0,0,0,0,1
7.4,30,100,15,0,30.30976406695098,71.01573091666853,0.0001,0,0.6,-0,1.79532202188539,13.02940281506788,0.0009803691758771961,58151.92895777642,62253.39728500273,6.505307383349952,298.0726864524956,238.6276853859093,0.2706215041603031,0,NaN,30,NaN,0.4990528440279145,0.1952407690230265,NaN,NaN,0.09983273991975468,0,NaN,0,0,0,0,1
7.600000000000001,30,100,15,0,28.72013224192009,75.91763899200447,0.0001,0,0.6,-0,1.762179675200825,12.96327262334985,0.0009798024483093995,58155.35978641377,62263.33066454405,6.498018141479994,298.0806512171901,240.7609856129474,0.2786250995214277,0,NaN,30,NaN,0.5191469105346581,0.1948422199973059,NaN,NaN,0.1027960065444994,0,NaN,0,0,0,0,1
7.800000000000001,30,100,15,0,30.04321562943468,81.33695058564089,0.0001,0,0.6,-0,1.722375319142496,12.87622026183424,0.0009792309277322365,58159.05398066067,62273.51038730986,6.491309896277298,298.0792420028251,240.3835184650964,0.286909711901741,0,NaN,30,NaN,0.5445173327998903,0.1943421325561023,NaN,NaN,0.1058639688808065,0,NaN,0,0,0,0,1
8,30,100,15,0,34.03793458879648,83.81545653916507,0.0001,0,0.6,-0,1.67644967456183,12.7865141692689,0.0009786460360338069,58163.54727032278,62284.49422611891,6.490032772198941,298.0769892251602,239.7800102708772,0.295491931409983,0,NaN,30,NaN,0.5725147491360209,0.1937907676093779,NaN,NaN,0.109042840276697,0,NaN,0,0,0,0,1
8.200000000000001,42,100,15,0,38.52754829154863,86.02039245844682,0.0001,0,0.6,-0,1.623595864853887,12.92978747938812,0.0009780464208616188,58168.93784493457,62296.36241987597,6.492033475785134,298.0805673421635,240.7387757696823,0.2362411172704836,0,NaN,30,NaN,0.543932447322132,0.1974085283978477,NaN,NaN,0.1219549925856314,0,NaN,0,0,0,0,1
8.4,42,100,15,0,42.22350887268152,90.15883460058549,0.0001,0,0.6,-0,1.563741541590175,12.83268224143968,0.0009774349234407198,58175.06608614269,62308.96314541865,6.496292254577152,298.0840281712988,241.6662679868605,0.2355309842234312,0,NaN,30,NaN,0.5366397849767047,0.1975086531326659,NaN,NaN,0.1215872746431046,0,NaN,0,0,0,0,1
8.6,42,100,15,0,44.21904049885882,94.34726010584941,0.0001,0,0.6,-0,1.497459066821273,12.76213673297056,0.0009768173522656473,58181.59186270892,62321.95945260251,6.500069206424749,298.0875549375495,242.611597124956,0.2415450055674904,0,NaN,30,NaN,0.5508175137463479,0.1973048145437472,NaN,NaN,0.1247016437285322,0,NaN,0,0,0,0,1
8.800000000000001,42,100,15,0,44.71259761903349,98.68909466754064,0.0001,0,0.6,-0,1.424061557076922,12.6695733441451,0.0009761985985130116,58188.21431300476,62335.04196971733,6.501568659477145,298.0941343201767,244.3754518847733,0.2485056692189258,0,NaN,30,NaN,0.5810411953549017,0.1968816126636008,NaN,NaN,0.1283068423364041,0,NaN,0,0,0,0,1
9,42,100,15,0,44.61230186807607,104.2158410851484,0.0001,0,0.6,-0,1.343089892677097,12.58195531307158,0.0009755804999416239,58194.81476252891,62348.09399956495,6.501249688058369,298.096985946051,245.1401006452752,0.2557884001943612,0,NaN,30,NaN,0.6064624494944783,0.1965225619462538,NaN,NaN,0.1320795524096401,0,NaN,0,0,0,0,1
9.200000000000001,42,100,15,0,44.63827112074971,108.6803436487087,0.0001,0,0.6,-0,1.254722735702623,12.48569655235669,0.0009749624406270319,58201.41784512569,62361.14786241818,6.499665427524925,298.1078664750911,248.0580937715708,0.263331028412611,0,NaN,30,NaN,0.6366494584878075,0.1960980526763193,NaN,NaN,0.135987653464028,0,NaN,0,0,0,0,1
9.4,42,100,15,0,45.29627577678931,116.0497119503964,0.0001,0,0.6,-0,1.159849149945479,12.39402381319344,0.0009743420944006494,58208.14846435097,62374.33726183985,6.498109817891609,298.1211917773318,251.6324037566054,0.271118455813861,0,NaN,30,NaN,0.6651084324891144,0.195696189330799,NaN,NaN,0.1400233999584068,0,NaN,0,0,0,0,1
9.600000000000001,42,100,15,0,46.57238138603596,124.6103300715639,0.0001,0,0.6,-0,1.057784693679246,12.29218897399845,0.0009737174831584242,58215.13092055382,62387.78245394096,6.496754280878737,298.1272172405945,253.2489807051327,0.2791586949136452,0,NaN,30,NaN,0.6971433619744534,0.1952448772923449,NaN,NaN,0.1441910230927695,0,NaN,0,0,0,0,1
9.800000000000001,42,100,15,0,48.39013724511665,131.1338667803098,0.0001,0,0.6,-0,0.9466089313453265,12.17543251178329,0.0009730868179594836,58222.47360373138,62401.56989890656,6.495253386311425,298.1398740562616,256.6453295406672,0.2874786087505933,0,NaN,30,NaN,0.7359221254715016,0.1947007765169741,NaN,NaN,0.1485045343643427,0,NaN,0,0,0,0,1
10,42,100,15,0,50.80936793628606,140.2259237332916,0.0001,0,0.6,-0,0.8275195964091492,12.06211623210794,0.0009724481414035213,58230.29701132953,62415.83692783242,6.494158963061503,298.1442344022006,257.8156722170947,0.2960776859219599,0,NaN,30,NaN,0.7751216835355075,0.1941497867568627,NaN,NaN,0.152963763212795,0,NaN,0,0,0,0,1
10.2,42,100,15,0,53.66456955732917,146.8805940745547,0.0001,0,0.6,-0,0.6996760730588691,11.94176381796444,0.0009718001748243925,58238.68914223941,62430.67496793748,6.494222930381675,298.1508730166753,259.5978904058553,0.3049665087405528,0,NaN,30,NaN,0.8154497160882225,0.1935822065843656,NaN,NaN,0.1575742969198295,0,NaN,0,0,0,0,1
10.4,42,100,15,0,56.49168543744909,154.5470035563045,0.0001,0,0.6,-0,0.5656987479669975,11.84752346170329,0.0009711431019869722,58247.64478008661,62446.08344918947,6.493602004791828,298.1520407199039,259.9114930029673,0.3141122023407201,0,NaN,30,NaN,0.8454136383202627,0.1931551426170386,NaN,NaN,0.1623191824895241,0,NaN,0,0,0,0,1
10.6,42,100,15,0,59.57312485207699,160.5578096869505,0.0001,0,0.6,-0,0.4244631241248233,11.73915401732039,0.000970475848220314,58257.21216805718,62462.0984360573,6.494216512210561,298.1764221523827,266.4600108242631,0.3235081945571609,0,NaN,30,NaN,0.8810081888310279,0.1926502206772195,NaN,NaN,0.1671951047355977,0,NaN,0,0,0,0,1
10.8,42,100,15,0,62.4025174216317,174.6621731143111,0.0001,0,0.6,-0,0.2755327181556905,11.62336861357752,0.0009697991346414082,58267.3398237108,62478.65787434779,6.492859702570178,298.1846229653774,268.6632341384038,0.3331875502896277,0,NaN,30,NaN,0.9211460171809317,0.1920820183172035,NaN,NaN,0.1722193246051145,0,NaN,0,0,0,0,1
11,42,100,15,0,65.78505315292082,183.9244235682391,0.0001,0,0.6,-0,0.1269129735088128,11.59371187478735,0.0009691117560094328,58278.14404652229,62495.89654225289,6.493670472253237,298.1677969286579,264.14160108269,0.3430873997151342,0,NaN,30,NaN,0.9415071347656746,0.1917839318041816,NaN,NaN,0.1773593078571044,0,NaN,0,0,0,0,1
11.2,42,100,15,0,68.82986313621628,184.9812960042161,0.0001,0,0.6,-0,0.0185827974799742,12.2866513641076,0.0009684159961155261,58289.56350184276,62513.737703915,6.506205693329663,298.1191867966652,251.0744700767765,0.3526889743200364,0,NaN,30,NaN,0.8352486433671237,0.1932192410141982,NaN,NaN,0.1823456959478374,0,NaN,0,0,0,0,1
11.4,42,100,15,0,66.82906474220636,174.6293805667874,0.0001,0,0.6,-0,0.009270209273059965,12.9027912106565,0.0009677567629042752,58300.60974257536,62531.23105601184,6.54008729436988,297.9787380136876,213.3111968220678,0.3598050181864796,0,NaN,30,NaN,0.4968202857825694,0.1978005513775627,NaN,NaN,0.1860420789894144,0,NaN,0,0,0,0,1
11.6,42,100,15,0,51.24312805028691,131.0086313044202,0.0001,0,0.6,-0,0.009100768465253402,12.89159663594378,0.0009672269839458909,58308.57163416546,62545.62949730147,6.56496968227435,297.8913766423505,189.8169635390061,0.3654771124466086,0,NaN,30,NaN,0.4256183931661789,0.1987493145238088,NaN,NaN,0.1889889034574026,0,NaN,0,0,0,0,1
11.8,42,100,15,0.5183762084311185,25.62156402514346,39.30258939132607,143.8295184910665,0,0.6,-0,0.008964678765953818,12.88480432853721,0.0009668285059864338,58311.44457036657,62554.91574219634,6.559985753818668,298.450306073696,340.1524234093215,0.3709254588427872,0,NaN,30,NaN,0.4099337748032068,0.1989496020102804,NaN,NaN,0.191819894972423,0,NaN,0,0,0,0,1
12,42,100,15,1.040191456760693,12.81078201257173,228.7150775787024,14.38295184910665,0,0.6,-0,0.008834800751619108,12.85408635096396,0.0009665229013302073,58311.81192550746,62561.71673371235,6.534687272007202,298.2270781245465,280.1059942699454,0.3763365049873933,0,1498.933537532727,30,1749.071953380743,0.4139755471386903,0.1988843975567012,0.0009684159961155261,3.386096313997222,0.1946319035864476,0,11.10415582949335,0,0,0,0,1
12.2,42,100,30,0,0,164.3959421506235,1.438295184910665,0,0.6,-0,0.01384284440295935,12.41755095828169,0.0009660103127726274,58312.45726308205,62569.84411131601,6.487132937789106,298.1188009652417,250.9785266648492,0.3823346005372911,0,NaN,30,NaN,0.5442554825935443,0.1971150774649317,NaN,NaN,0.1977494538363621,0,NaN,0,0,0,0,1
12.4,42,100,30,0,5.741847958796332,137.2299614796004,0.1438295184910665,0,0.6,-0,0.01322836962189881,12.4204197168247,0.000965475594839942,58314.27391848784,62579.10223613759,6.452134825644241,298.0606822990918,235.3427780486322,0.3888907025014129,0,NaN,30,NaN,0.5680417540206052,0.1967804363606954,NaN,NaN,0.2011575901055148,0,NaN,0,0,0,0,1
12.6,42,100,30,0,25.37053763943718,122.4461365492035,0.01438295184910665,0,0.7,-0,0.01270518498902388,13.26286500509972,0.0009648760499088475,58320.03079996741,62592.29272376439,6.445808727305863,298.0149560228701,223.039403347791,0.3954875795321279,0,NaN,30,NaN,0.5687750964609302,0.1967574836621684,NaN,NaN,0.2045875118345993,0,NaN,0,0,0,0,1
12.8,42,100,30,0,47.47580236077826,109.3820474647925,0.001438295184910665,0,0.7,-0,0.01268701285547056,13.2529049379488,0.0009642054527936937,58330.21750183366,62609.93330418962,6.466420636834322,297.9945135190982,217.5379398182032,0.4020737200838698,0,NaN,30,NaN,0.5591474194022773,0.1968746884612102,NaN,NaN,0.2080124407384666,0,NaN,0,0,0,0,1
13,42,100,30,0,61.33969704911348,103.233181592796,0.0001438295184910665,0,0.7,-0,0.01231952676981507,13.26038832917302,0.0009634921605038634,58343.18017868568,62630.29620971616,6.496219253316863,297.9848006302765,214.9233277048899,0.4086248811440537,0,NaN,30,NaN,0.5518491021665057,0.1969604142845937,NaN,NaN,0.2114197639719589,0,NaN,0,0,0,0,1
13.2,42,100,30,0,63.34021437079643,99.82981069378363,0.0001,0,0.7,-0,0.01229511041907923,13.22937807162809,0.0009627753641323786,58356.54288502372,62651.10361587458,6.525463632626445,297.9869158084614,215.4928753730043,0.4151588478218759,0,NaN,30,NaN,0.5544800529955541,0.1969119260413283,NaN,NaN,0.2148187249204777,0,NaN,0,0,0,0,1
13.4,42,100,30,0,53.67419532882722,100.0624174690903,0.0001,0,0.7,-0,0.01209154687700712,13.21142493893872,0.0009620927992760146,58367.96985012643,62669.95367460964,6.546166160280897,297.9945161570727,217.5399480619842,0.4216864206896216,0,NaN,30,NaN,0.5563699128528844,0.1968734708212613,NaN,NaN,0.2182149390290143,0,NaN,0,0,0,0,1
13.6,42,100,30,0,35.75340893955232,102.1780167209162,0.0001,0,0.7,-0,0.01190061629226802,13.17516810971521,0.0009614704147083638,58375.80944556675,62685.23304985571,6.548781070896049,298.0033386542055,219.916734316794,0.4282118883876458,0,NaN,30,NaN,0.5627547988454874,0.1967742490090196,NaN,NaN,0.2216106366354874,0,NaN,0,0,0,0,1
13.8,42,100,30,0,16.81865176280927,104.9591315073833,0.0001,0,0.7,-0,0.01142279137944203,13.14025791062446,0.0009609097124649412,58379.85946418105,62696.73025253991,6.523259236132534,298.0089206107849,221.420759281106,0.4347539728498916,0,NaN,30,NaN,0.5696696613897146,0.1966678200948528,NaN,NaN,0.2250155622634004,0,NaN,0,0,0,0,1
14,42,100,30,0,8.127036641788354,106.9439373314753,0.0001,0,0.7,-0,0.01131717837870584,13.09652623122408,0.0009603754178651536,58382.16956584623,62706.52997845586,6.486835892848409,298.0128421526376,222.477523057969,0.4413123251655915,0,NaN,30,NaN,0.5795528855891475,0.1965211988195001,NaN,NaN,0.2284295388483188,0,NaN,0,0,0,0,1
14.2,42,100,30,0,13.95047819715357,108.5895275007328,0.0001,0,0.7,-0,0.01121024591383798,13.04916162562874,0.0009598196962615886,58385.64323489386,62717.52844076259,6.461192977668388,298.0148837123771,223.0277377557398,0.4479056035280053,0,NaN,30,NaN,0.5959703205948692,0.1962860605584716,NaN,NaN,0.2318622859884513,0,NaN,0,0,0,0,1
14.4,42,100,30,0,29.96084119307979,109.7460347708729,0.0001,0,0.7,-0,0.0108802875577418,13.03433508924926,0.0009592103763943847,58392.31760035034,62731.72805951132,6.454368255292744,298.0189562679763,224.1254762783487,0.4545202432666608,0,NaN,30,NaN,0.5985394645263676,0.1962382498103853,NaN,NaN,0.2353067490413031,0,NaN,0,0,0,0,1
14.6,42,100,30,0,48.67386683679825,111.6938939687035,0.0001,0,0.7,-0,0.0105193868651277,13.02377762627766,0.0009585406838286549,58402.73226356479,62749.65952695863,6.465961093429013,298.0254841594736,225.8854036306123,0.4611229716634987,0,NaN,30,NaN,0.5997157259232589,0.1962093150460638,NaN,NaN,0.2387456032172249,0,NaN,0,0,0,0,1
14.8,42,100,30,0,62.74956584450402,114.6263324174037,0.0001,0,0.7,-0,0.01026447797368366,13.01028859608315,0.0009578282828321443,58415.96096990735,62770.38216603776,6.489597786799369,298.0191975083239,224.1900529392868,0.4676920455907501,0,NaN,30,NaN,0.6030572250691186,0.196151144710078,NaN,NaN,0.24216751820386,0,NaN,0,0,0,0,1
15,42,100,30,0,67.39001985253751,113.3641345647863,0.0001,0,0.7,-0,0.01006190318275069,12.99325939234272,0.0009571060462813739,58430.11727560187,62792.04094386362,6.514460368623803,298.0202151498254,224.4645587632124,0.4742391148082816,0,NaN,30,NaN,0.6040344181326958,0.1961250174764486,NaN,NaN,0.2455785551873274,0,NaN,0,0,0,0,1
